file_name,Multiple AAA,Missing Assert,Assert Pre,Suppressed Exception,Obscure Assert,Multiple Act,Arrange&Quit,NOTE,testSmellName
AbstractConfigTest.getExistingProperty.csv,,,,,,,,,['Assertion Roulette']
AbstractConfigTest.getNonExistentProperty.csv,,,,,,,,,['Assertion Roulette']
AbstractConfigTest.testGet.csv,,,,,,,,,"['Assertion Roulette', 'Lazy Test']"
AbstractConfigurationBridgeTest.confirmLegacyOverrideOrderResources.csv,,,,,,,,,[]
AbstractConfigurationBridgeTest.testBasicWiring.csv,,,,,,,,,[]
AbstractConfigurationBridgeTest.testCommonConfigurationListener.csv,,,,,,,,Corrected,[]
AbstractConfigurationBridgeTest.verifyMissingProperty.csv,,,,,,,,,[]
AbstractConfigurationBridgeTest.verifyValueInterpollation.csv,,,,,,,,,[]
Archaius2RuleTest.testEmptyKey.csv,,,,,,,,,[]
Archaius2RuleTest.testEmptyValue.csv,,,,,,,,,[]
Archaius2RuleTest.testMultipleDelimiter.csv,,,,,,,,,[]
Archaius2RuleTest.testOverridesTypeLevelProperties.csv,,,,,,,,,[]
Archaius2RuleTest.testPropertyFromFile.csv,,,,,,,,,[]
Archaius2RuleTest.testRuntimeOverrides.csv,,,,,,,,,[]
Archaius2RuleTest.zz_testPropertiesCleanedBetweenRuns.csv,1.0,,,,,,,Simple MA，NO RF,[]
ArchaiusModuleTest.testAddingConfigFileOverride.csv,,,,,,,,,[]
ArchaiusModuleTest.testBasicLibraryOverride.csv,,,,,,,,,[]
ArchaiusModuleTest.testDefaultBindings.csv,,1.0,,,,,,,[]
ArchaiusModuleTest.testNamedInjection.csv,,,,,,,,,[]
ArchaiusModuleTest.testPrefixReplacements.csv,,,,,,,,,[]
ArchaiusTypeTest.testEquals.csv,1.0,,,,,,,"Simple MA，Hiding Equal as Action, NO RF",[]
ArchaiusTypeTest.testGetTypeParameters.csv,,,,,,,,,[]
ArchaiusTypeTest.testToString.csv,1.0,,,,,,,"Simple MA,  NO RF, Order Opt Needed",[]
CompositeConfigTest.basicTest.csv,,,,,,,,Corrected,"['Duplicate Assert', 'Verbose Test', 'Assertion Roulette']"
CompositeConfigTest.testKeysIterable.csv,,,,,,,,,"['Assertion Roulette', 'Magic Number Test']"
CompositeConfigTest.unusedCompositeConfigIsGarbageCollected.csv,,,,,,,,,['Assertion Roulette']
ConfigInterfaceTest.getValue.csv,,,,,,,,,[]
ConfigLoaderTest.testLoadingOfNonExistantFile.csv,,,,,,,,,['Assertion Roulette']
ConfigManagerTest.testBasicReplacement.csv,,1.0,,,,,,Print,[]
ConfigToCommonsTest.configIsImmutable.csv,,,,,,,,,[]
ConfigToCommonsTest.configNonExistentKeyWorks.csv,,,,,,,,,[]
ConfigToCommonsTest.configNonStringWorks.csv,,,,,,,,,[]
ConfigToCommonsTest.confirmInterpolationWorks.csv,,,,,,,,,[]
ConfigToCommonsTest.confirmStringWorks.csv,,,,,,,,,[]
ConfigToCommonsTest.test.csv,,1.0,,,,,,,[]
ConfigToCommonsTest.testIsEmptyAPI.csv,,,,,,,,,[]
DefaultDecoderTest.testArrayConverterIgnoresParameterizedType.csv,,,,,,,,,[]
DefaultDecoderTest.testArrays.csv,1.0,,,,,,,Simple MA，NO RF,[]
DefaultDecoderTest.testEnumConverterIgnoresParameterizedType.csv,,,,,,,,,[]
DefaultDecoderTest.testTypeConverterRegistry.csv,1.0,,,,,,,Simple MA，NO RF,[]
DefaultLayeredConfigTest.testKeysIterable.csv,,,,,,,,,"['Assertion Roulette', 'Magic Number Test']"
DefaultLayeredConfigTest.testKeysIterableModificationThrows.csv,,,,,,,,,[]
DefaultLayeredConfigTest.validateApiWhenRemovingChild.csv,,,1.0,,,,,,"['Eager Test', 'Verbose Test', 'Assertion Roulette', 'Lazy Test']"
DefaultLayeredConfigTest.validateListenerCalled.csv,,,,,,,,,"['Unknown Test', 'Lazy Test']"
DefaultPropertyContainerTest.basicTest.csv,1.0,,,,,,,Can RF MA,"['Eager Test', 'Duplicate Assert', 'Assertion Roulette', 'Lazy Test']"
DynamicPropertyTest.testNonStringDynamicProperty.csv,,,,,,,,New & older version config source modify effecting test,[]
FirstScopePropertyValueResolverTest.test2Scopes.csv,,,,,,,,,[]
FirstScopePropertyValueResolverTest.testFirst.csv,,,,,,,,,[]
FirstScopePropertyValueResolverTest.testIdentical.csv,,,,,,,,,[]
InternalArchaiusModuleTest.succeedOnDuplicateInstall.csv,,1.0,,,,,,,['Unknown Test']
InterpolationTest.failOnCircularResolve.csv,,,,,,,,,[]
InterpolationTest.interpolationOnlyDoneOnParent.csv,,,,,,,,,[]
InterpolationTest.nestedInterpolations.csv,,,,,,,,,[]
InterpolationTest.nonStringInterpolation.csv,,,,,,,,,[]
InterpolationTest.returnStringOnMissingInterpolation.csv,,,,,,,,,[]
InterpolationTest.simpleStringInterpolation.csv,,,,,,,,,[]
MapConfigTest.infiniteInterpolationRecursionShouldFail.csv,,,,,,,,,['Eager Test']
MapConfigTest.interpolationShouldWork.csv,,,,,,,,,"['Eager Test', 'Assertion Roulette', 'Lazy Test']"
MapConfigTest.interpolationWithDefaultReplacement.csv,,,,,,,,,"['Eager Test', 'Assertion Roulette']"
MapConfigTest.invalidBigDecimal.csv,,,,,,,,,[]
MapConfigTest.invalidBoolean.csv,,,,,,,,,[]
MapConfigTest.invalidDouble.csv,,,,,,,,,[]
MapConfigTest.invalidFloat.csv,,,,,,,,,[]
MapConfigTest.invalidInteger.csv,,,,,,,,,[]
MapConfigTest.invalidList.csv,,,,,,,,,[]
MapConfigTest.invalidLong.csv,,,,,,,,,[]
MapConfigTest.invalidShort.csv,,,,,,,,,[]
MapConfigTest.nonExistentBigDecimal.csv,,,,,,,,,[]
MapConfigTest.nonExistentBigInteger.csv,,,,,,,,,[]
MapConfigTest.nonExistentBoolean.csv,,,,,,,,,[]
MapConfigTest.nonExistentByte.csv,,,,,,,,,[]
MapConfigTest.nonExistentDouble.csv,,,,,,,,,[]
MapConfigTest.nonExistentFloat.csv,,,,,,,,,[]
MapConfigTest.nonExistentInteger.csv,,,,,,,,,[]
MapConfigTest.nonExistentList.csv,,,,,,,,,[]
MapConfigTest.nonExistentString.csv,,,,,,,,,[]
MapConfigTest.numericInterpolationShouldWork.csv,,,,,,,,,"['Eager Test', 'Assertion Roulette']"
MapConfigTest.testKeysIterable.csv,,,,,,,,,"['Eager Test', 'Assertion Roulette', 'Magic Number Test', 'Lazy Test']"
PrefixedViewTest.confirmNotifactionOnSettableConfigChange.csv,1.0,,1.0,,,,,Can RF MA,[]
PrefixedViewTest.instrumentationNotEnabled.csv,,,,,,,,,[]
PrivateViewTest.testKeysIterable.csv,,,,,,,,,[]
PrivateViewTest.unusedPrivateViewIsGarbageCollected.csv,,,,,,,,,[]
PropertyConfigReaderTest.loadAtNext.csv,,,,,,,,,[]
PropertyTest.chainedPropertyDefault.csv,,,,,,,,,[]
PropertyTest.customMappingWithDefault.csv,,,,,,,,,[]
PropertyTest.test.csv,1.0,,,,,,,Can RF MA,[]
PropertyTest.testDefault.csv,,,,,,,,,[]
PropertyTest.testDefaultNull.csv,,,,,,,,,[]
PropertyTest.testUpdateCallback.csv,1.0,,,,,,,Can RF MA,[]
ProxyFactoryTest.emptyNonStringValuesIgnoredInCollections.csv,1.0,,,,,,,Simple MA，NO RF,[]
ProxyFactoryTest.emptyStringValuesAreAddedToCollection.csv,1.0,,,,,,,Simple MA，NO RF,[]
ProxyFactoryTest.interfaceWithBadDefault.csv,,,,,,,,,[]
ProxyFactoryTest.testCollectionsWithDefaultValueAnnotation.csv,,,,,,,,,[]
ProxyTest.annotationAndDefaultImplementationNotAllowed.csv,,,,,,,,,[]
ProxyTest.confirmConfigurationSourceWorksWithProxy.csv,,,,,,,,,[]
TypesafeConfigTest.keyWithAt.csv,,,,,,,,,['Assertion Roulette']
TypesafeConfigTest.pathWithAt.csv,,,,,,,,,['Assertion Roulette']
TypesafeConfigTest.simple.csv,,,,,,,,,"['Assertion Roulette', 'Lazy Test']"
TypesafeConfigTest.simplePath.csv,,,,,,,,,['Assertion Roulette']
URLConfigReaderTest.testStringConstructorMalformedUrl.csv,,,,,,,,,[]
